Sl No,District Name ,Area : In Hectares.,Production : In M.Tons.,Yield :M. Tons  /  Hectare. ,Value : Rs. in Lakhs.
1, Bengaluru Urban ,39,192,4.88,43
2,Bengaluru Rural ,69,963,13.94,116
3,Chikkaballapura,180,2729,15.15,1087
4, Chitradurga,168,112,0.67,1
5,Davangere,14,28,2.02,41
6, Kolar,128,1303,10.18,113
7, Ramanagara,331,3213,9.7,2627
8, Shivamogga,12,150,12.5,63
9, Tumakuru,25,172,6.92,125
10, Bagalkote,0,0,0,0
11, Belagavi,2,15,8.82,4
12, Vijayapura,166,2253,13.61,3875
13, Dharwad,20,11,0.54,325
14, Gadag,21,283,13.64,242
15, Haveri,16,214,13.46,112
16, Uttar Kannada,42,1091,25.79,862
17,Ballari,46,571,12.54,284
18, Bidar,0,0,0,0
19, Kalaburagi,0,0,0,0
20,Koppal,0,0,0,0
21,Raichur,0,0,0,0
22,Yadgiri,26,342,13.25,73
23,Chamarajanagara,3,45,15,7
24, Chikkamagaluru,2,22,11,18
25,Dakshina Kannada,0,0,0.25,0
26, Hassan,0,0,0,0
27,Kodagu,49,62,1.28,33
28, Mandya,62,529,8.55,6
29, Mysuru,3,34,11.33,45
30, Udupi,18,164,9.32,1589
