Sl No,District Name ,Area : In Hectares.,Production : In M.Tons.,Yield :M. Tons  /  Hectare. ,Value : Rs. in Lakhs.
1, Bengaluru Urban ,1627.59,5714.64,3.511105377,3996.15912
2,Bengaluru Rural ,2895.43,5404.09,1.866420532,3955.0463
3,Chikkaballapura,3908.49,47040.38,12.03543568,11889.41556
4, Chitradurga,3439.47,34040.99,9.897161481,11940.3186
5,Davangere,664.6827725,2467.51,3.712312252,420.5362
6, Kolar,3473.07,33022.28,9.508095143,4082.97
7, Ramanagara,505.8,1794.6714,3.548183867,2918.1296
8, Shivamogga,176,1035,5.880681818,1240.9
9, Tumakuru,1798.34,12921.775,7.185390416,9726.811
10, Bagalkote,1265.5,11359.42,8.976230739,2702.5522
11, Belagavi,1308.165,13519.785,10.33492335,9440.279
12, Vijayapura,340.02,3700.04,10.88183048,262.7933
13, Dharwad,476.22,3824.2005,8.03032317,3099.03915
14, Gadag,1092.73,10000.7,9.152032066,2692.9402
15, Haveri,1808.59,14108.96,7.801082611,6144.27
16, Uttar Kannada,73.12,576.1775,7.879889223,2412.849
17,Ballari,1630.216,20084.207,12.3199668,10080.25614
18, Bidar,828,5462,6.596618357,616.73
19, Kalaburagi,1361,12270,9.015429831,1514.48
20,Koppal,1009.1,6095.6,6.040630265,1155.97
21,Raichur,184,1303,7.081521739,1125.9
22,Yadgiri,603.89,5644.2274,9.346449519,522.320249
23,Chamarajanagara,2181.16,21977.72,10.07616131,7551.826
24, Chikkamagaluru,191.98,1593.8352,8.302089801,1161.49872
25,Dakshina Kannada,35.62,172.6628,4.847355418,1866.35148
26, Hassan,283.48,5408.45,19.07877099,6039.627
27,Kodagu,5.7,0.7665,0.134473684,6.20625
28, Mandya,3324.709831,36747.19928,11.05275382,1931.706908
29, Mysuru,1166,8745,7.5,3258
30, Udupi,152.47,1037.3926,6.803912901,10563.00117
