Sl No,District Name ,Area,Production. In MT,Yield. In MT per Hactare,Value. In lakh Rupees
1, Bengaluru Urban ,4902,79460,16.21,17504
2,Bengaluru Rural ,12642,176984,14,31379
3,Chikkaballapura,17293,293929,17,54306
4, Chitradurga,14685,297246,20.24,70781
5,Davangere,5184,95241,18.37,15306
6, Kolar,53049,499382,9.41,108044
7, Ramanagara,36118,406429,11.25,40006
8, Shivamogga,21761,579139,26.61,143970
9, Tumakuru,33448,487385,14.57,132129
10, Bagalkote,11580,213588,18.44,30997
11, Belagavi,16650,357062,21.44,71802
12, Vijayapura,36672,916574,24.99,169228
13, Dharwad,8807,90038,10.22,32329
14, Gadag,2490,48198,19.36,6471
15, Haveri,10123,158788,15.69,41081
16, Uttar Kannada,12926,308080,23.83,39403
17,Ballari,11267,214887,19.07,48926
18, Bidar,4893,123135,25.16,11235
19, Kalaburagi,6525,159434,24.43,51448
20,Koppal,8153,158319,19.42,18930
21,Raichur,4614,93849,20.34,28582
22,Yadgiri,1662,52682,31.7,22003
23,Chamarajanagara,25698,755670,29.41,113351
24, Chikkamagaluru,8115,176295,21.72,72736
25,Dakshina Kannada,8018,181464,22.63,48003
26, Hassan,6210,121152,19.51,39688
27,Kodagu,14429,367737,25.49,67768
28, Mandya,8415,175182,20.82,22503
29, Mysuru,22338,527174,23.6,63006
30, Udupi,2999,71690,23.9,14079
