Sl No,District Name ,Area : In Hectares.,Production : In M.Tons.,Yield :M. Tons  /  Hectare. ,Value : Rs. in Lakhs.
1, Bengaluru Urban ,8,30,3.66,13
2,Bengaluru Rural ,0,0,0,0
3,Chikkaballapura,1,0,0.04,1
4, Chitradurga,7,14,2.12,4
5,Davangere,55,191,3.5,401
6, Kolar,152,0,0,0
7, Ramanagara,5,2,0.51,2
8, Shivamogga,13,52,4,31
9, Tumakuru,96,713,7.41,436
10, Bagalkote,0,0,0,0
11, Belagavi,16,194,11.81,349
12, Vijayapura,15,44,3,3
13, Dharwad,8,113,13.53,23
14, Gadag,36,85,2.35,85
15, Haveri,96,645,6.73,47
16, Uttar Kannada,23,79,3.5,160
17,Ballari,16,40,2.54,154
18, Bidar,1,3,4.17,0
19, Kalaburagi,0,0,0,0
20,Koppal,120,99,0.82,67
21,Raichur,0,0,0,0
22,Yadgiri,25,117,4.61,14
23,Chamarajanagara,0,0,0,0
24, Chikkamagaluru,14,58,4.25,289
25,Dakshina Kannada,13,46,3.66,35
26, Hassan,0,0,0,0
27,Kodagu,0,0,1.2,0
28, Mandya,8,5,0.58,9
29, Mysuru,0,0,0,0
30, Udupi,12,53,4.4,188
