Sl No,District Name ,Area In Hectare,Production in Metric Ton,Yield :Metric Tons  /  Hectare. ,Values in Lakhs
1, Bengaluru Urban ,3292,13237,4.02,465
2,Bengaluru Rural ,6482,17322,2.67,5890
3,Chikkaballapura,2706,8053,2.98,15124
4, Chitradurga,100420,416975,4.15,244909
5,Davangere,81122,202755,2.50,5902
6, Kolar,1410,6943,4.92,1229
7, Ramanagara,34230,132554,3.87,24464
8, Shivamogga,116933,194627,1.66,414090
9, Tumakuru,248369,637345,2.57,334657
10, Bagalkote,537,2164,4.03,209
11, Belagavi,6308,13552,2.15,32980
12, Vijayapura,137,744,5.45,67
13, Dharwad,643,2025,3.15,1226
14, Gadag,494,1662,3.37,1016
15, Haveri,10390,19325,1.86,26569
16, Uttar Kannada,47110,149196,3.17,318969
17,Ballari,2473,6216,2.51,4205
18, Bidar,381,886,2.32,247
19, Kalaburagi,100,289,2.88,203
20,Koppal,1047,4112,3.93,31
21,Raichur,52,387,7.52,57
22,Yadgiri,98,383,3.92,36
23,Chamarajanagara,14653,69223,4.72,3433
24, Chikkamagaluru,128771,419041,3.25,275083
25,Dakshina Kannada,171570,334262,1.95,423861
26, Hassan,113103,385411,3.41,165991
27,Kodagu,28907,67860,2.35,140740
28, Mandya,71643,201028,2.81,28541
29, Mysuru,27199,92739,3.41,31173
30, Udupi,74912,246978,3.30,176993
